Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2018-12-02,Texans,Browns,2,0:05,4,10,CLE 30,23-0,Ka'imi Fairbairn 48 yard field goal good,0,1.41,3,1.59
2018-12-02,Jets,Titans,3,10:43,4,14,OTI 21,6-19,Jason Myers 39 yard field goal good,0,2.06,3,0.94
2018-12-02,Bills,Dolphins,3,9:06,4,6,MIA 14,14-9,Stephen Hauschka 32 yard field goal good,0,2.53,3,0.47
2018-12-02,Patriots,Vikings,3,6:26,4,15,MIN 30,10-7,Stephen Gostkowski 48 yard field goal no good,0,1.41,-1.47,-2.88
2018-12-02,Raiders,Chiefs,3,11:10,4,8,KAN 32,10-19,Daniel Carlson 50 yard field goal good,0,1.24,3,1.76
2018-12-02,Ravens,Falcons,3,10:02,4,3,ATL 3,10-13,Justin Tucker 21 yard field goal good,0,3.04,3,-0.04
2018-12-02,Cardinals,Packers,3,5:22,4,9,GNB 26,10-10,Zane Gonzalez 44 yard field goal good,0,1.74,3,1.26
2018-12-02,Lions,Rams,3,8:01,4,11,RAM 11,6-13,Matt Prater 29 yard field goal good,0,2.7,3,0.3
2018-12-02,Vikings,Patriots,3,2:24,4,9,NWE 21,10-10,Dan Bailey 39 yard field goal good,0,2.06,3,0.94
2018-12-02,Rams,Lions,3,5:51,4,2,DET 30,6-16,Greg Zuerlein 48 yard field goal good,0,1.5,3,1.5
2018-12-02,Jets,Titans,3,0:31,4,9,OTI 21,13-22,Jason Myers 39 yard field goal good,0,2.06,3,0.94
2018-12-02,Texans,Browns,3,5:31,4,3,CLE 35,26-7,Ka'imi Fairbairn 53 yard field goal good,0,0.99,3,2.01
2018-12-02,Ravens,Falcons,3,0:36,4,9,ATL 27,10-16,Justin Tucker 45 yard field goal good,0,1.67,3,1.33
2018-12-02,Jaguars,Colts,4,11:45,4,3,CLT 19,6-0,,0,2.28,3,0.72
2018-12-02,Titans,Jets,4,9:33,4,6,NYJ 6,16-22,Ryan Succop 24 yard field goal good,0,2.99,3,0.01
2018-12-02,Bears,Giants,4,9:29,4,15,NYG 18,24-17,Cody Parkey 36 yard field goal good,0,2.25,3,0.75
2018-12-02,Titans,Jets,4,5:44,4,15,NYJ 15,19-22,Ryan Succop 33 yard field goal good,0,2.44,3,0.56
2018-12-02,Seahawks,49ers,4,7:53,4,22,SFO 22,37-16,Sebastian Janikowski 40 yard field goal good,0,1.99,3,1.01
2018-12-02,Ravens,Falcons,4,7:29,4,3,ATL 29,10-19,Justin Tucker 47 yard field goal good,0,1.58,3,1.42
2018-12-02,Texans,Browns,4,5:50,4,9,CLE 20,29-7,Ka'imi Fairbairn 38 yard field goal good,0,2.12,3,0.88
2018-12-02,Bills,Dolphins,4,3:40,4,23,MIA 37,21-17,Stephen Hauschka 55 yard field goal no good,0,0.79,-1.93,-2.72
2018-12-02,Cardinals,Packers,4,1:45,4,3,GNB 26,17-20,Zane Gonzalez 44 yard field goal good,0,1.84,3,1.16
